Contam_Node,Det_Time_Def,Impact_Def,AFD_Solved,Pressure_Violation,Det_Time_AFD,Impact_AFD,Valves_Closed,Res_Head,Sim_Time
1,96,230.983863085508,1,0,3,4.58296221494675,10,40,4.86241062013232
2,96,178.971417069435,1,0,2,3.01892498135567,11,40,10.506849867452
3,96,304.435304582119,1,0,3,5.39489683508873,6,40,7.41574426244541
4,11,29.0368625447154,1,0,3,1.99847992509604,9,40,4.85497672400021
5,11,34.9195900820196,1,0,3,1.98325273394585,7,40,6.31631396699527
6,8,34.1610444262624,1,0,3,2.82405905425549,5,40,5.67749221356794
7,96,148.080950915813,1,0,2,2.54880595207214,5,40,7.76322110106713
8,8,34.5453757867217,1,0,3,3.16810685396194,6,40,13.3174712100644
9,96,118.936591267586,1,0,2,2.02983620762825,6,40,13.3833175426171
10,8,62.8117780797184,1,0,4,4.65229706466198,9,40,13.9712233846695
11,8,75.3067649193108,1,0,4,8.29603084921837,14,70,13.8546372378407
12,7,17.6341411322355,1,0,3,3.82905951142311,8,40,15.653526548195
13,8,30.9557143524289,1,0,3,3.33251716196537,9,40,14.4438985825946
14,96,532.553297061473,0,0,96,24.209351837635,1,40,11.087878952271
15,8,35.2897384315729,1,0,3,2.8967774733901,11,40,18.5932713750624
16,96,204.245163738728,1,0,2,3.07479557394981,5,40,13.8090828939983
17,96,574.726720619947,1,0,4,10.6035327240825,16,60,20.7025198152842
18,7,15.5926781147718,1,0,3,4.87815953791142,9,40,15.3887079933488
19,96,131.276044130325,1,0,2,2.1651583313942,8,40,12.1793020090518
20,8,65.8504311479628,1,0,3,4.77401278913021,11,50,13.039862872794
21,96,159.862392455339,1,0,2,1.76621061563492,5,40,5.32846915912229
22,6,4.44749617576599,1,0,2,1.6280811727047,2,40,4.41702911272692
23,96,547.983750523999,1,0,3,5.12400026619434,14,40,6.68940749075125
24,7,5.23279072344303,1,0,2,1.59452930092812,3,40,5.93082810559532
25,12,87.1530399173498,1,0,3,8.55414766818285,12,50,11.0923948977619
26,7,5.90738502144814,1,0,2,1.7047234326601,5,40,10.0431783892444
27,5,2.72354725003242,1,0,2,1.48307427763939,2,40,10.1914847032242
28,96,139.34401896596,1,0,2,2.10381612181664,4,40,5.23563405776982
29,4,5.63288996368647,1,0,2,2.25303372740746,4,40,6.21385976363192
30,5,9.2755795493722,1,0,2,2.53617072105408,3,40,3.50680119246249
31,96,90.3745606541634,1,0,2,1.98955312371254,3,40,4.10234594654166
32,5,9.29052076488733,1,0,2,2.6672815233469,5,40,4.58672265607535
33,1,0.450750738382339,1,0,1,0.450750738382339,0,40,3.20379331020399
34,5,12.5170526206493,1,0,3,4.94515447318554,4,40,4.12322548089067
35,11,43.2969107870013,1,0,4,6.81072358042002,10,40,6.51420513749314
36,96,418.688752070069,1,0,4,9.70591995865107,14,40,6.36850115205306
37,2,1.43703150749207,1,0,2,1.43703150749207,0,40,3.0351593965298
38,3,3.75867959856987,1,0,2,2.61871701478958,1,40,3.60533643623042
39,96,349.794757217169,0,0,96,12.1046759188175,1,40,3.23769901784308
40,96,122.574458360672,1,0,2,2.55021116137505,7,40,5.01125383270156
41,9,15.4902954176068,1,0,3,3.41545967757702,10,40,8.60095807927936
42,9,16.1995935291052,1,0,3,3.38500344008207,6,40,13.9118619390202
43,96,274.705423891544,1,0,3,3.23891844600439,6,40,9.71285352195622
44,96,157.627989470959,1,0,2,2.24194559454918,6,40,16.1723201559878
45,96,99.3706543445587,1,0,2,3.88799044489861,8,50,16.6064123763333
46,96,444.919238466769,0,0,96,8.64620394259691,1,40,9.89690546814419
47,96,438.077657602727,1,0,4,8.4925165399909,14,50,19.0757107103772
48,96,389.600000798702,1,0,4,9.1546208485961,12,40,12.3260136956342
49,19,46.8138556778431,1,0,2,2.15828341245651,3,40,9.24287743300194
50,7,9.22449471056461,1,0,3,1.96060810238123,4,40,9.15621739872085
51,96,509.880551520735,0,0,96,15.563148021698,2,40,12.0867439714064
52,7,10.9422148764133,1,0,2,2.74968346953392,3,40,13.2084366422074
53,96,330.731682702899,1,0,3,7.31003934144974,15,50,12.6297647525015
54,7,11.3191676139832,1,0,2,2.98958504199982,5,40,14.140199817346
55,10,39.4007504601032,1,0,3,4.9235183596611,8,40,13.4500270464071
56,8,13.5515376925468,1,0,3,2.83086351305246,11,40,17.2382883290802
57,8,12.6349517852068,0,0,96,0,2,40,10.4068000462473
58,8,14.0120077952743,1,0,3,2.75378684699535,6,40,10.3612039403034
59,9,26.9357151687145,1,0,4,2.5853458121419,8,40,8.74950366034212
60,96,543.502399904653,1,0,3,2.71613042801619,8,40,14.8453090395514
61,96,128.510455906391,1,0,3,2.73002772778273,9,40,13.1538234535279
62,9,12.5710163116455,0,0,96,0,2,40,8.82314078911434
63,96,350.981129579246,1,0,3,3.64146526157856,8,40,10.3593835156314
64,96,367.621247760952,1,0,4,2.47763439267874,4,40,11.5257733535295
65,96,305.907357603312,1,0,4,7.4899641033262,12,50,11.7923872302229
66,96,548.661236209795,1,0,3,2.46190196275711,8,40,12.9386524553069
67,96,110.862271621823,1,0,3,2.96690534800291,7,40,12.3410029226352
68,96,344.398035934195,1,0,3,6.57053478062153,13,60,14.9344371172104
69,96,120.712278261781,1,0,3,2.82801923900843,7,40,11.6841834192069
70,96,138.004686146975,1,0,3,4.45145730674267,8,40,13.9361411832415
71,96,280.288712268695,0,0,96,0,2,40,8.02257158291892
72,96,145.805217966437,0,0,96,1.72925999760628,1,40,8.61077551211613
73,96,189.112898886204,1,0,4,8.61977553740144,19,50,12.318635622318
74,96,145.838605597615,1,0,3,6.25917607359588,9,50,10.5663859436142
75,96,92.2876908034086,1,0,4,10.8113966919482,10,50,11.9606377598313
76,8,70.4986610077322,1,0,4,6.70578528940678,17,80,13.137091310208
